,wykłady,,,,,,,,laboratoria,,wycieczki,,konkursy,,,roboty,
,Rozpoczęcie RoboDay,Wykład : PP i WIiT,Informacje o konkursach,"Wykład : CPU vs GPU vs TPU vs DPU vs QPU, czyli czym jest to PU (Processing Unit)",Wykład : Systemy wbudowane w codziennym życiu,wykład : AI w robotyce,Wykład : Jak uczyć kreatywności?,"zkończenie,rozdania nagród",Laboratoria : wyświetlacz 7 segemntowy,Laboratoria : wyświetlacz ciekłokrystaliczny,Wycieczka ,Wycieczka,Konkurs indywidualny,Konkurs indywidualny,Konkurs zespołowy,,Oglądanie robotów
,,,,,,,,,,,,,"czas może trwać do 13.00, jak nie będzie opcjonalnego wykładu",,,,
,,,,,,,opcjonalne,elastycznie,,,,,dla niezainteresowanych to jest czas wolny i na roboty,,,,
"Zespół Szkół Łączności, ul. Przełajowa 4 Poznań, ilu uczniów, nazwiska nauczycieli",10.00-10.15,10.15.-10.30,10.30-10.40,10.40.-10.55,x,x,12.45-13.00,13.00-13.10,11.00-11.20,x,11.40-12.00,x,12.00-12.45,12.00-12.45,12.00-12.45,,11.20-11.40
"Technikum komunikacji, Fredry 13, 25 uczniów, Dorota Renk, Adam Kozłowski",10.00-10.15,10.15.-10.30,10.30-10.40,10.40.-10.55,x,x,12.45-13.00,13.00-13.10,x,11.00-11.20,x,11.40-12.00,12.00-12.45,12.00-12.45,12.00-12.45,,11.20-11.40
"Technikum Zamoyscy, Poznań, ul. Rubież 20, 30 uczniów, Agnieszka Sip, Paweł Borowiec",10.00-10.15,10.15.-10.30,10.30-10.40,x,11.40-11.55,x,12.45-13.00,13.00-13.10,10.40.-11.00,x,11.20-11.40,x,12.00-12.45,12.00-12.45,12.00-12.45,,11.00-11.20
"VIII LO, ul. Hipolita Cegielskiego 1 Poznań, 30 uczniów, Agata Lerczak",10.00-10.15,10.15.-10.30,10.30-10.40,x,11.40-11.55,x,12.45-13.00,13.00-13.10,x,10.40.-11.00,x,11.20-11.40,12.00-12.45,12.00-12.45,12.00-12.45,,11.00-11.20
"1LO im. Bolesława Chrobrego, Gniezno ul.Kostrzewskiego 3, l.uczniów 30 (chęć 60), nauczyciele - Mateusz Nowakowski, ...",10.00-10.15,10.15.-10.30,10.30-10.40,x,x,12.30-12.45,12.45-13.00,13.00-13.10,11.20-11.40,x,10.40.-11.00,x,11.40-12.30,11.40-12.30,11.40-12.30,,11.00-11.20
"Liceum św. Marii Magdaleny, Garbary 24, ilu uczniów, nazwiska nauczycieli",10.00-10.15,10.15.-10.30,10.30-10.40,x,x,12.30-12.45,12.45-13.00,13.00-13.10,x,11.20-11.40,x,10.40.-11.00,11.40-12.30,11.40-12.30,11.40-12.30,,11.00-11.20
poza szkolni,10.00-10.15,10.15.-10.30,10.30-10.40,10.40.-10.55,x,x,12.45-13.00,x,x,x,x,x,x,x,x,,x